timestamp,EAR_left,EAR_right,EAR_avg,MAR,pitch,yaw,roll,confidence,fps,level,level_name
1783584876.1628444,0.22977945,0.3330624,0.28142092,0.28261378,-174.84952,-29.002089,178.32918,0,0.9327999071270845,0,ALERT
1783584876.278864,0.26914334,0.32766628,0.2984048,0.3345828,-178.65419,-33.54267,179.73601,0,8.61924166856753,0,ALERT
1783584876.303337,0.26027918,0.37545416,0.31786668,0.28732377,-178.51495,-35.835423,-179.95213,0,40.86103966955031,0,ALERT
1783584876.3292172,0.30058327,0.39209297,0.34633812,0.263594,-169.81055,-13.8907,0.25342682,0,38.63972952307253,0,ALERT
1783584876.3535302,0.2421576,0.35186234,0.29700997,0.27420127,-169.8722,-16.793749,-2.7727237,0,41.130305169843886,0,ALERT
1783584876.3819807,0.23562253,0.3294002,0.28251135,0.29437143,-173.39682,-21.26687,0.62104404,0,35.14878069219811,0,ALERT
1783584876.426313,0.21749242,0.3352974,0.2763949,0.280568,-166.43953,-10.688271,2.341814,0,22.5569341142178,0,ALERT
1783584876.4542594,0.24686004,0.28928357,0.2680718,0.26814294,-176.05138,-26.051575,178.74718,0,35.782691782691785,0,ALERT
1783584876.4825187,0.2214634,0.36245748,0.29196045,0.32672676,-171.1779,-12.555973,-0.06725448,0,35.3866090712743,0,ALERT
1783584876.508765,0.32016248,0.34004584,0.33010417,0.24935988,-179.98578,-28.656565,-176.83661,0,38.10059499477676,0,ALERT
1783584876.5319552,0.4075393,0.35512424,0.38133177,0.38329387,-174.66594,-11.051837,1.972064,0,43.12155201661406,0,ALERT
1783584876.553054,0.32096684,0.32415426,0.32256055,0.3137915,-171.67407,-16.141323,2.616079,0,47.39594327363128,0,ALERT
1783584876.5839455,0.36047223,0.34791955,0.3541959,0.32729164,-171.45512,-15.013616,3.0334485,0,32.37144974067671,0,ALERT
1783584876.6156843,0.34139192,0.30226517,0.32182854,0.38399822,-172.95227,14.251049,3.0004618,0,31.50721894202311,0,ALERT
1783584876.64963,0.21229646,0.40671182,0.30950415,0.394215,-175.25473,-31.1755,-178.90685,0,29.45872635711727,0,ALERT
1783584876.6809866,0.3520228,0.30144238,0.32673258,0.5019739,-174.99348,-14.03645,1.5149168,0,31.89124004896631,0,ALERT
1783584876.7309947,0.28539968,0.36035797,0.3228788,0.33128825,-172.96579,-9.21144,0.6267609,0,19.99677710024839,0,ALERT
1783584876.7619758,0.2610028,0.3562372,0.30862,0.25093615,-169.79643,-17.333591,-0.7571509,0,32.27778119805455,0,ALERT
1783584876.792891,0.30963326,0.3588287,0.334231,0.30606642,-176.4999,-28.63142,-179.8208,0,32.34648486905019,0,ALERT
1783584876.824996,0.30231363,0.30794445,0.30512902,0.33682922,178.45033,-32.598675,-178.29245,0,31.147826345259844,0,ALERT
1783584876.857003,0.22213474,0.29716417,0.25964946,0.4715271,-176.63358,-33.068024,-179.60133,0,31.243186067472642,0,ALERT
1783584876.8890455,0.18226974,0.3552395,0.26875463,0.3593934,-173.23395,-16.040913,0.969178,0,31.208547873448616,0,ALERT
1783584876.920858,0.3300906,0.33374232,0.33191645,0.38950884,-174.5606,-31.43177,177.98924,0,31.434254408645668,0,ALERT
1783584876.9847717,0.16386642,0.37688643,0.27037644,0.29111877,-177.15273,-37.840202,179.74646,0,15.646067876780291,0,ALERT
1783584877.0170667,0.27214423,0.37628096,0.32421258,0.44720092,-176.22192,-34.208454,-179.00723,0,30.964556494776865,0,ALERT
1783584877.0332968,0.2786194,0.32110968,0.29986453,0.31826723,-177.23683,-32.413113,177.56668,0,61.613890765931195,0,ALERT
1783584877.0658612,0.28838432,0.36500683,0.32669556,0.36409634,-172.39313,-26.729221,-0.9696513,0,30.708379397444816,0,ALERT
1783584877.1304502,0.33649835,0.31566137,0.32607985,0.353094,-170.44685,-26.856316,-0.7921798,0,15.48250684739356,0,ALERT
1783584877.161944,0.34870347,0.2987288,0.32371613,0.35610932,-169.56007,-27.86521,-0.7361608,0,31.752418732115007,0,ALERT
1783584877.208496,0.3280422,0.3161129,0.32207754,0.34769234,-168.97752,-22.02266,-0.8684793,0.9999300241470337,21.481270550155184,1,DROWSY
1783584877.2426543,0.21740848,0.35171983,0.28456414,0.33915523,-170.1676,-22.555983,-0.23559402,0.9999284744262695,29.275521742165143,1,DROWSY
