,precision,recall,f1-score,support
Alert,0.9923682914820285,0.9916359163591636,0.9920019687461548,4065.0
Drowsy,0.9856999498243854,0.9842184368737475,0.9849586362496866,3992.0
Highly Drowsy,0.9911705348133198,0.9934260429835651,0.9922970071978785,3955.0
accuracy,0.9897602397602397,0.9897602397602397,0.9897602397602397,0.9897602397602397
macro avg,0.9897462587065778,0.9897601320721586,0.9897525373979067,12012.0
weighted avg,0.9897578063403323,0.9897602397602397,0.9897583701572992,12012.0
